ID11WHT,IWH09,IMPUTATION FLAG GRADE 9 STUDENTS – WHITE
ID12AMIN,IAM10,IMPUTATION FLAG GRADE 10 STUDENTS – AM. INDIAN
ID12ASIN,IAS10,IMPUTATION FLAG GRADE 10 STUDENTS – ASIAN
ID12HISP,IHI10,IMPUTATION FLAG GRADE 10 STUDENTS – HISPANIC
ID12BLK,IBL10,IMPUTATION FLAG GRADE 10 STUDENTS – BLACK
ID12WHT,IWH10,IMPUTATION FLAG GRADE 10 STUDENTS – WHITE
ID13AMIN,IAM11,IMPUTATION FLAG GRADE 11 STUDENTS – AM. INDIAN
ID13ASIN,IAS11,IMPUTATION FLAG GRADE 11 STUDENTS – ASIAN
ID13HISP,IHI11,IMPUTATION FLAG GRADE 11 STUDENTS – HISPANIC
ID13BLK,IBL11,IMPUTATION FLAG GRADE 11 STUDENTS – BLACK
ID13WHT,IWH11,IMPUTATION FLAG GRADE 11 STUDENTS – WHITE
ID14AMIN,IAM12,IMPUTATION FLAG GRADE 12 STUDENTS – AM. INDIAN
ID14ASIN,IAS12,IMPUTATION FLAG GRADE 12 STUDENTS – ASIAN
ID14HISP,IHI12,IMPUTATION FLAG GRADE 12 STUDENTS – HISPANIC
ID14BLK,IBL12,IMPUTATION FLAG GRADE 12 STUDENTS – BLACK
ID14WHT,IWH12,IMPUTATION FLAG GRADE 12 STUDENTS – WHITE
ID15AMIN,IAMUG,IMPUTATION FLAG UNGRADED STUDENTS – AM. INDIAN
ID15ASIN,IASUG,IMPUTATION FLAG UNGRADED STUDENTS – ASIAN
ID15HISP,IHIUG,IMPUTATION FLAG UNGRADED STUDENTS – HISPANIC
ID15BLK,IBLUG,IMPUTATION FLAG UNGRADED STUDENTS – BLACK
ID15WHT,ID16AMIN,IWHUG IAM IMPUTATION FLAG UNGRADED STUDENTS – WHITE IMPUTATION FLAG TOTAL STUDENTS – AM. INDIAN
ID16ASIN,IAS,IMPUTATION FLAG TOTAL STUDENTS – ASIAN
ID16HISP,IHI,IMPUTATION FLAG TOTAL STUDENTS – HISPANIC
ID16BLK,IBL,IMPUTATION FLAG TOTAL STUDENTS – BLACK
ID16WHT,IWH,IMPUTATION FLAG TOTAL STUDENTS – WHITE
IE01AMIN,IAMRGDIP,IMPUTATION FLAG REGULAR DIPLOMA H.S. COMPLETERS – AM. INDIAN
IE01ASIN,IASRGDIP,IMPUTATION FLAG REGULAR DIPLOMA H.S. COMPLETERS - ASIAN
IE01HISP,IHIRGDIP,IMPUTATION FLAG REGULAR DIPLOMA H.S. COMPLETERS - HISPANIC
IE01BLK,IBLRGDIP,IMPUTATION FLAG REGULAR DIPLOMA H.S. COMPLETERS - BLACK
IE01WHT,IWHRGDIP,IMPUTATION FLAG REGULAR DIPLOMA H.S. COMPLETERS - WHITE
IE02AMIN,IAMODIP,IMPUTATION FLAG OTHER DIPLOMA RECIPIENTS – AM. INDIAN
IE02ASIN,IASODIP,IMPUTATION FLAG OTHER DIPLOMA RECIPIENTS – ASIAN
IE02HISP,IHIODIP,IMPUTATION FLAG OTHER DIPLOMA RECIPIENTS – HISPANIC
IE02BLK,IBLODIP,IMPUTATION FLAG OTHER DIPLOMA RECIPIENTS – BLACK
IE02WHT,IWHODIP,IMPUTATION FLAG OTHER DIPLOMA RECIPIENTS – WHITE
IE03AMIN,IAMEQUIV,IMPUTATION FLAG H.S. EQUIVALENCY RECIPIENTS – AM. INDIAN
IE03ASIN,IASEQUIV,IMPUTATION FLAG H.S. EQUIVALENCY RECIPIENTS – ASIAN
IE03HISP,IHIEQUIV,IMPUTATION FLAG H.S. EQUIVALENCY RECIPIENTS – HISPANIC
IE03BLK,IBLEQUIV,IMPUTATION FLAG H.S. EQUIVALENCY RECIPIENTS – BLACK
IE03WHT,IWHEQUIV,IMPUTATION FLAG H.S. EQUIVALENCY RECIPIENTS – WHITE
IE04AMIN,IAMOHC,IMPUTATION FLAG OTHER H.S. COMPLETERS – AM. INDIAN
IE04ASIN,IASOHC,IMPUTATION FLAG OTHER H.S. COMPLETERS – ASIAN
IE04HISP,IHIOHC,IMPUTATION FLAG OTHER H.S. COMPLETERS – HISPANIC
IE04BLK,IE04WHT,IBLOHC IWHOHC IMPUTATION FLAG OTHER H.S. COMPLETERS – BLACK IMPUTATION FLAG OTHER H.S. COMPLETERS - WHITE
